path,label
Garbage classification resized/cardboard/cardboard218.jpg,cardboard
Garbage classification resized/cardboard/cardboard193.jpg,cardboard
Garbage classification resized/trash/trash53.jpg,trash
Garbage classification resized/glass/glass_543.jpg,glass
Garbage classification resized/plastic/plastic35.jpg,plastic
Garbage classification resized/metal/metal325.jpg,metal
Garbage classification resized/trash/trash_550.jpg,trash
Garbage classification resized/glass/glass106.jpg,glass
Garbage classification resized/plastic/plastic244.jpg,plastic
Garbage classification resized/cardboard/cardboard342.jpg,cardboard
Garbage classification resized/metal/metal13.jpg,metal
Garbage classification resized/paper/paper410.jpg,paper
Garbage classification resized/metal/metal351.jpg,metal
Garbage classification resized/cardboard/cardboard177.jpg,cardboard
Garbage classification resized/metal/metal1.jpg,metal
Garbage classification resized/plastic/plastic216.jpg,plastic
Garbage classification resized/glass/glass273.jpg,glass
Garbage classification resized/metal/metal_544.jpg,metal
Garbage classification resized/plastic/plastic205.jpg,plastic
Garbage classification resized/paper/paper522.jpg,paper
Garbage classification resized/plastic/plastic224.jpg,plastic
Garbage classification resized/trash/trash_483.jpg,trash
Garbage classification resized/metal/metal230.jpg,metal
Garbage classification resized/trash/trash_424.jpg,trash
Garbage classification resized/metal/metal_474.jpg,metal
Garbage classification resized/metal/metal270.jpg,metal
Garbage classification resized/glass/glass256.jpg,glass
Garbage classification resized/plastic/plastic157.jpg,plastic
Garbage classification resized/cardboard/cardboard_409.jpg,cardboard
Garbage classification resized/plastic/plastic423.jpg,plastic
Garbage classification resized/trash/trash_370.jpg,trash
Garbage classification resized/metal/metal17.jpg,metal
Garbage classification resized/plastic/plastic232.jpg,plastic
Garbage classification resized/cardboard/cardboard231.jpg,cardboard
Garbage classification resized/paper/paper314.jpg,paper
Garbage classification resized/plastic/plastic45.jpg,plastic
Garbage classification resized/cardboard/cardboard121.jpg,cardboard
Garbage classification resized/cardboard/cardboard186.jpg,cardboard
Garbage classification resized/plastic/plastic418.jpg,plastic
Garbage classification resized/metal/metal86.jpg,metal
Garbage classification resized/paper/paper518.jpg,paper
Garbage classification resized/trash/trash_397.jpg,trash
Garbage classification resized/metal/metal_446.jpg,metal
Garbage classification resized/cardboard/cardboard271.jpg,cardboard
Garbage classification resized/metal/metal_583.jpg,metal
Garbage classification resized/glass/glass221.jpg,glass
Garbage classification resized/trash/trash_491.jpg,trash
Garbage classification resized/trash/trash_441.jpg,trash
Garbage classification resized/paper/paper320.jpg,paper
Garbage classification resized/cardboard/cardboard70.jpg,cardboard
Garbage classification resized/plastic/plastic403.jpg,plastic
Garbage classification resized/metal/metal200.jpg,metal
Garbage classification resized/paper/paper296.jpg,paper
Garbage classification resized/paper/paper295.jpg,paper
Garbage classification resized/metal/metal306.jpg,metal
Garbage classification resized/trash/trash_432.jpg,trash
Garbage classification resized/cardboard/cardboard58.jpg,cardboard
Garbage classification resized/paper/paper193.jpg,paper
Garbage classification resized/glass/glass202.jpg,glass
Garbage classification resized/glass/glass476.jpg,glass
Garbage classification resized/cardboard/cardboard_490.jpg,cardboard
Garbage classification resized/cardboard/cardboard80.jpg,cardboard
Garbage classification resized/paper/paper263.jpg,paper
Garbage classification resized/paper/paper572.jpg,paper
Garbage classification resized/paper/paper204.jpg,paper
Garbage classification resized/glass/glass279.jpg,glass
Garbage classification resized/plastic/plastic78.jpg,plastic
Garbage classification resized/plastic/plastic401.jpg,plastic
Garbage classification resized/metal/metal359.jpg,metal
Garbage classification resized/metal/metal_456.jpg,metal
Garbage classification resized/trash/trash_169.jpg,trash
Garbage classification resized/metal/metal407.jpg,metal
Garbage classification resized/glass/glass382.jpg,glass
Garbage classification resized/trash/trash_352.jpg,trash
Garbage classification resized/trash/trash_416.jpg,trash
Garbage classification resized/plastic/plastic413.jpg,plastic
Garbage classification resized/trash/trash74.jpg,trash
Garbage classification resized/cardboard/cardboard_439.jpg,cardboard
Garbage classification resized/glass/glass109.jpg,glass
Garbage classification resized/cardboard/cardboard93.jpg,cardboard
Garbage classification resized/trash/trash96.jpg,trash
Garbage classification resized/glass/glass180.jpg,glass
Garbage classification resized/trash/trash_484.jpg,trash
Garbage classification resized/metal/metal244.jpg,metal
Garbage classification resized/trash/trash_413.jpg,trash
Garbage classification resized/glass/glass274.jpg,glass
Garbage classification resized/paper/paper290.jpg,paper
Garbage classification resized/paper/paper2.jpg,paper
Garbage classification resized/cardboard/cardboard354.jpg,cardboard
Garbage classification resized/metal/metal316.jpg,metal
Garbage classification resized/plastic/plastic407.jpg,plastic
Garbage classification resized/paper/paper334.jpg,paper
Garbage classification resized/glass/glass400.jpg,glass
Garbage classification resized/metal/metal62.jpg,metal
Garbage classification resized/paper/paper576.jpg,paper
Garbage classification resized/trash/trash83.jpg,trash
Garbage classification resized/metal/metal55.jpg,metal
Garbage classification resized/plastic/plastic457.jpg,plastic
Garbage classification resized/metal/metal_513.jpg,metal
Garbage classification resized/plastic/plastic143.jpg,plastic
Garbage classification resized/cardboard/cardboard214.jpg,cardboard
Garbage classification resized/cardboard/cardboard216.jpg,cardboard
Garbage classification resized/metal/metal_564.jpg,metal
Garbage classification resized/plastic/plastic443.jpg,plastic
Garbage classification resized/plastic/plastic202.jpg,plastic
Garbage classification resized/plastic/plastic_512.jpg,plastic
Garbage classification resized/plastic/plastic222.jpg,plastic
Garbage classification resized/cardboard/cardboard323.jpg,cardboard
Garbage classification resized/plastic/plastic183.jpg,plastic
Garbage classification resized/plastic/plastic180.jpg,plastic
Garbage classification resized/plastic/plastic368.jpg,plastic
Garbage classification resized/metal/metal177.jpg,metal
Garbage classification resized/metal/metal231.jpg,metal
Garbage classification resized/metal/metal38.jpg,metal
Garbage classification resized/trash/trash_373.jpg,trash
Garbage classification resized/cardboard/cardboard321.jpg,cardboard
Garbage classification resized/metal/metal_420.jpg,metal
Garbage classification resized/metal/metal174.jpg,metal
Garbage classification resized/glass/glass_513.jpg,glass
Garbage classification resized/trash/trash_587.jpg,trash
Garbage classification resized/cardboard/cardboard69.jpg,cardboard
Garbage classification resized/trash/trash_320.jpg,trash
Garbage classification resized/trash/trash_322.jpg,trash
Garbage classification resized/metal/metal198.jpg,metal
Garbage classification resized/cardboard/cardboard108.jpg,cardboard
Garbage classification resized/glass/glass483.jpg,glass
Garbage classification resized/trash/trash_349.jpg,trash
Garbage classification resized/metal/metal166.jpg,metal
Garbage classification resized/plastic/plastic29.jpg,plastic
Garbage classification resized/glass/glass387.jpg,glass
Garbage classification resized/cardboard/cardboard238.jpg,cardboard
Garbage classification resized/cardboard/cardboard_417.jpg,cardboard
Garbage classification resized/paper/paper236.jpg,paper
Garbage classification resized/trash/trash_260.jpg,trash
Garbage classification resized/paper/paper529.jpg,paper
Garbage classification resized/glass/glass262.jpg,glass
Garbage classification resized/paper/paper473.jpg,paper
Garbage classification resized/trash/trash_574.jpg,trash
Garbage classification resized/plastic/plastic354.jpg,plastic
Garbage classification resized/metal/metal_545.jpg,metal
Garbage classification resized/cardboard/cardboard274.jpg,cardboard
Garbage classification resized/cardboard/cardboard307.jpg,cardboard
Garbage classification resized/metal/metal102.jpg,metal
Garbage classification resized/metal/metal_421.jpg,metal
Garbage classification resized/glass/glass125.jpg,glass
Garbage classification resized/paper/paper219.jpg,paper
Garbage classification resized/metal/metal369.jpg,metal
Garbage classification resized/paper/paper463.jpg,paper
Garbage classification resized/trash/trash_161.jpg,trash
Garbage classification resized/metal/metal_520.jpg,metal
Garbage classification resized/cardboard/cardboard_508.jpg,cardboard
Garbage classification resized/paper/paper446.jpg,paper
Garbage classification resized/trash/trash_506.jpg,trash
Garbage classification resized/metal/metal148.jpg,metal
Garbage classification resized/plastic/plastic311.jpg,plastic
Garbage classification resized/metal/metal_490.jpg,metal
Garbage classification resized/plastic/plastic375.jpg,plastic
Garbage classification resized/trash/trash_197.jpg,trash
